zone_id,zone_name,school_type,shade_score,lat,lon,area_m2
177,General Zone 177,General,0.5290937738102466,37.43499200727018,-122.18051057377593,7.975499999542858e-09
178,General Zone 178,General,0.49867353463005376,37.42955475,-122.18541450000002,4.649810000167153e-09
179,General Zone 179,General,0.5536729988736735,37.42793399999999,-122.15832499999999,3.412000000278829e-09
180,General Zone 180,General,0.4737520944145993,37.43530297705012,-122.18058165627808,5.490150000347398e-09
181,General Zone 181,General,0.49410663510502584,37.4309313915938,-122.15614281585013,4.615559999562054e-09
182,General Zone 182,General,0.4713473521240589,37.43512730091716,-122.1806763015368,5.558105000085047e-09
183,General Zone 183,General,0.5524693618278563,37.426890026871405,-122.17952543889955,7.815000001252142e-10
184,General Zone 184,General,0.5477339353380981,37.42757362348556,-122.17975427323563,5.9015000002526945e-09
185,General Zone 185,General,0.48579416277151555,37.42903682413975,-122.18138672984482,4.6379969998263615e-08
186,General Zone 186,General,0.525998404603418,37.43595644159921,-122.1795420572088,4.067424999968452e-09
187,General Zone 187,General,0.5417222200201216,37.43388765865894,-122.16241289840809,1.7275000000344027e-09
188,Steamfitters Shop (09-130),General,0.5155200811599463,37.4283549567891,-122.15757043440571,1.7997000001331015e-08
189,General Zone 189,General,0.5129650578356006,37.43530833287122,-122.1797169879852,4.3279999995472484e-09
190,General Zone 190,General,0.4841852290900452,37.428391999999995,-122.17878,3.8453999999214385e-08
191,IT Offices (09-190),General,0.4693102767805899,37.428335549549864,-122.15804624814614,1.0775359500157344e-07
192,General Zone 192,General,0.5497215757953327,37.43453755861198,-122.17957000606161,3.0354999996113592e-09
193,General Zone 193,General,0.5500418057163331,37.43662499999999,-122.17608200000001,6.603199999734941e-08
194,General Zone 194,General,0.5233101457273268,37.43719500000001,-122.17326800000001,9.611999999141483e-09
195,General Zone 195,General,0.4939029791048701,37.43576,-122.1615375,4.98600000075793e-09
196,General Zone 196,General,0.4949209574612661,37.43584020720644,-122.17961418259499,3.38586000025692e-09
197,General Zone 197,General,0.532595567887024,37.42725347823743,-122.17892510290618,3.7104999999510503e-09
198,General Zone 198,General,0.5497110259952577,37.43473215175105,-122.17981170046524,8.418555000377464e-09
199,General Zone 199,General,0.5487086424265117,37.428346,-122.15784849999999,1.3930000000856643e-09
200,General Zone 200,General,0.5379875545857624,37.43574637361033,-122.17998534259777,5.3430000007387156e-09
201,General Zone 201,General,0.5242031646154288,37.43548365,-122.18033539999999,5.503000000221406e-09
202,Stanford Mausoleum,General,0.4684139964995049,37.43651322305035,-122.16994422784555,1.0910900000069657e-08
203,General Zone 203,General,0.4761628714094614,37.428869500000005,-122.18173200000003,2.1224000000405274e-08
204,General Zone 204,General,0.5498554188527079,37.4345577,-122.17964549999998,2.3011600000277597e-09
205,General Zone 205,General,0.520642905965959,37.43575923761599,-122.17922441905782,7.0049999995868536e-09
206,General Zone 206,General,0.460919705161663,37.43091999999999,-122.158938,8.912000000416618e-09
207,General Zone 207,General,0.4701471542866032,37.429007999999996,-122.17961799999999,1.2306000000637125e-08
208,General Zone 208,General,0.5263501769108055,37.43522934999999,-122.18068324999999,2.973060000306365e-09
209,General Zone 209,General,0.4605061583846219,37.42824027805055,-122.1787180727405,1.6497000000364567e-08
210,General Zone 210,General,0.4760808051417499,37.438007000000006,-122.1743115,3.764000000377233e-09
211,General Zone 211,General,0.5148733789366586,37.435871646480535,-122.17940686516785,4.736304999745529e-09
212,General Zone 212,General,0.5291895197692693,37.43546574402782,-122.17952127462725,4.8032500002703015e-09
213,General Zone 213,General,0.5251961259502601,37.42915418252851,-122.18147358819554,3.315190000541436e-09
214,General Zone 214,General,0.482426930946056,37.43084094280599,-122.15648678841464,2.6112224999041766e-08
215,General Zone 215,General,0.5312179221347536,37.4319165,-122.15735550000001,8.19399999917495e-09
